eta,sigma,mfpt,success_rate,n_transitions
0.9,0.2,3.827765553110622,0.1,3
0.9,0.27499999999999997,2.346469293858772,0.06666666666666667,2
0.9,0.35,3.2546509301860373,0.06666666666666667,2
0.9,0.425,2.7281456291258253,0.16666666666666666,5
0.9,0.49999999999999994,2.982263119290525,0.2,6
0.9,0.5750000000000001,1.896379275855171,0.06666666666666667,2
0.9,0.65,2.413816096552644,0.2,6
0.9,0.725,2.853570714142829,0.13333333333333333,4
0.9,0.8,2.214842968593719,0.16666666666666666,5
1.0,0.05,3.1979729279189173,0.1,3
1.0,0.125,3.189304527572181,0.1,3
1.0,0.2,3.043208641728346,0.16666666666666666,5
1.0,0.27499999999999997,3.8867773554710943,0.03333333333333333,1
1.0,0.35,2.8200640128025602,0.06666666666666667,2
1.0,0.425,2.6582816563312663,0.13333333333333333,4
1.0,0.49999999999999994,999.0,0.0,0
1.0,0.5750000000000001,3.627725545109022,0.06666666666666667,2
1.0,0.65,3.6395279055811165,0.16666666666666666,5
1.0,0.725,2.8849103153964126,0.2,6
1.0,0.8,2.791058211642328,0.2,6
